pat_no,claim_no,claim_txt,dependencies,ind_flg,appl_id
3930283,1,"1. A poultry processing machine having inlet means adjacent one end and an outlet end adjacent the other end and adapted to remove the skin from parts and pieces of poultry, said machine comprising in combination, a pair of substantially horizontal rolls having spiral configurations thereon extending in opposite directions and positioned adjacent each other in non-contacting relationship and the upper surfaces of said rolls forming a conveying channel to receive adjacent the inlet end of the machine parts and pieces of poultry having skin thereon which is to be removed, means to drive said rolls in opposite rotary directions and operable to move said parts and pieces of poultry along said rolls in a single direction toward the exit end of the machine, and means operable to position said parts and pieces of poultry upon said rolls for engagement of the skin thereon by said spiral configurations on said rolls to effect separation and removal of said skin from said parts and pieces while the same move toward the discharge end of said machine, the peripheries of said configurations being spaced from each other adjacent the inlet end of the machine a distance less than the width of said parts and pieces of poultry to be engaged thereby and at the discharge end being substantially in rolling contact with each other, the space between the configurations on said rolls decreasing substantially uniformly between the inlet and discharge ends of the machine and said space permitting the skin separated from said parts and pieces to pass therethrough in intact condition and the parts and pieces from which the skin has been removed being moved to the discharge end of said machine by said spiral configurations.",,1,
3930283,15,"15. The machine according to claim 14 wherein said drive means further includes transmission means comprising pulleys and belts adjacent the discharge end of said machine, and an electric motor connected to said transmission means to operate the same.",14,0,
3930284,7,"7. The method of removing the hide from a meat carcass having the hide slitted lengthwise and detached partially from the carcass to provide side flaps disposed along opposite sides of the carcass, said method comprising the steps of gripping the side flaps and pulling said flaps in a common direction toward and beyond the spine of the carcass, while at the same time pulling the forelegs in a substantially opposite direction.",,1,
3930284,1,"1. The method of removing the hide from a meat carcass including a head having the hide slitted lengthwise along the belly, the hide being partially detached from the carcass to provide side flaps disposed along opposite sides of the carcass, including flap portions resulting from peeling the hide from the forelegs, said method comprising the steps of: suspending the carcass from the hind legs with the unskinned head and the skinned forelegs lowermost; gripping the side flaps at opposite sides of the carcass near the forelegs, and forcibly pulling the hide over and off the head while restraining the forelegs against movement in the direction of the hide pulling force.",,1,
3930284,4,"4. The method as defined by claim 1, wherein the hide pulling force is applied first laterally then longitudinally of the spine of the carcass, and wherein the forelegs are pulled in a direction substantially opposite to the direction of said lateral force.",1,0,
3930284,2,"2. The method as defined by claim 1, wherein the hide pulling force is applied first laterally then longitudinally of the spine of the carcass.",1,0,
3930284,5,"5. The method as defined by claim 1, wherein the forelegs are pulled and advanced in a direction counter to the direction of pulling of the hide over the head.",1,0,
3930284,3,"3. The method as defined by claim 1, wherein restraint of the forelegs is accompanied by a pulling force applied in a direction substantially opposite to the direction of the hide pulling force first mentioned.",1,0,
3930284,6,"6. The method of removing the hide from a meat carcass having the hide slitted lengthwise along the belly, the hide being partially detached from the carcass to provide side flaps disposed along opposite sides of the carcass, including flap portions resulting from peeling the hide from the forelegs, said method comprising the steps of: suspending the carcass with the head and the previously skinned forelegs lowermost; gripping the foreleg flaps at opposite sides of the carcass and forcibly pulling the foreleg flaps in a common direction toward and beyond the spine of the carcass, while at the same time pulling the skinned forelegs in a substantially opposite direction, thereby to curve the spine in a direction tending to shorten the spine and oppose stretching thereof lengthwise during the hide removal procedure.",,1,
3930285,11,11. Apparatus according to claim 10 wherein said first hopper of said picker is also provided with means for stopping operation of said picker and said bank of cards in response to the fibrous material being substantially exhausted from said first hopper to thereby avoid obtaining nonuniform delivery of fibrous material from said picker and bank of cards.,10,0,
3930285,17,17. A method according to claim 16 comprising forming the fibrous material into laps at the delivery end of the picker for being subsequently processed through cards.,16,0,
3930285,14,"14. Apparatus according to claim 13 wherein each of said pickers is provided with a second hopper positioned adjacent said first recited hopper for receiving the fibrous material therefrom, and wherein said first recited hopper includes means for feeding the fibrous material from the first recited hopper to said second hopper.",13,0,
3930285,21,21. A method according to claim 16 wherein the continuous filament tow fed to the tow cutter comprises a plurality of tows and wherein at least one of the tows is formed of continuous filaments of a different characteristic from the continuous filaments of another one of the tows to thereby facilitate obtaining a blend of fibrous material from different types of tow.,16,0,
3930285,8,"8. Apparatus according to claim 1, additionally comprising a second picker positioned adjacent said first recited picker, said second picker also having a hopper for receiving the fibrous material from said tow cutter and having evening means for obtaining a substantially uniform weight of delivery of fibrous material processed therethrough, and wherein said means for feeding the fibrous material from said tow cutter to said first recited picker is operatively connected to the hopper of said second picker for also feeding the fibrous material to said second picker.",1,0,
3930285,19,19. A method according to claim 16 including stopping operation of the picker in response to the fibrous material being substantially exhausted from the hopper of the picker.,16,0,
3930285,7,7. Apparatus according to claim 6 wherein said first hopper of said picker is provided with means for stopping operation of said picker in response to the fibrous material being substantially exhausted from said first hopper to thereby avoid obtaining nonuniform delivery of fibrous material from said picker.,6,0,
3930285,4,"4. Apparatus according to claim 1, wherein said hopper is provided with means for stopping operation of said picker in response to the fibrous material being substantially exhausted from said hopper to thereby avoid obtaining nonuniform delivery of fibrous material from said picker.",1,0,
3930285,1,"1. Apparatus for processing preformed continuous filament tow positioned in a container comprising a tow cutter for receiving the continuous filament tow from the container and for severing the same into fibrous material of predetermined staple length, and means positioned ahead of said tow cutter for guiding the preformed continuous filament tow from the container to said tow cutter and for aiding in the removal of any folds or entanglements present in the tow upon its removal from the container, a picker having a hopper for receiving the fibrous material from said tow cutter and also having evening means for obtaining a substantially uniform weight of delivery of the fibrous material processed therethrough, means operatively connected to said tow cutter and to the hopper of said picker for feeding the fibrous material from said tow cutter to said picker, and wherein said hopper is provided with means for stopping operation of said tow cutter in response to a predetermined high level of fibrous material being present in said hopper to thereby avoid overfilling said hopper.",,1,
3930285,9,9. Apparatus according to claim 1 wherein said means for feeding the fibrous material from said tow cutter to said picker includes pneumatic conveyor means.,1,0,
3930285,6,"6. Apparatus according to claim 5, additionally including means for stopping the feeding of fibrous material from the first hopper to said second hopper of said picker in response to a predetermined high level of fibrous material being present in said second hopper to thereby facilitate obtaining a more uniform weight of delivery of fibrous material from said picker.",5,0,
3930285,2,2. Apparatus according to claim 1 wherein said picker is provided with lap forming means at its delivery end for forming laps for subsequently being processed through cards.,1,0,
3930285,15,15. Apparatus according to claim 14 additionally including means associated with each of said pickers for stopping the feeding of fibrous material from the first hopper to said second hopper of the picker in response to a predetermined high level of fibrous material being present in said second hopper to facilitate obtaining a more uniform weight of delivery of fibrous material from said pickers.,14,0,
3930285,16,"16. A method of processing preformed continuous filament tow comprising guiding the preformed tow from a supply container through a predetermined path of travel to a tow cutter while removing any folds or entanglements present in the tow and while severing the tow into fibrous material of predetermined staple length and while feeding the fibrous material as it is delivered from the tow cutter to a hopper of a picker and through the picker to obtain a substantially uniform weight of fibrous material therefrom, and stopping operation of the tow cutter in response to a predetermined high level of fibrous material being present in the hopper.",,1,
3930285,10,"10. Appparatus for processing continuous filament tow comprising a tow cutter for receiving continuous filament tow and for serving the same into fibrous material of predetermined staple length, a picker associated with said tow cutter and including first and second hoppers for receiving the fibrous material from said tow cutter, means operatively connected to said tow cutter and to the first hopper of said picker for feeding the fibrous material from said tow cutter to said picker, said first hopper of said picker including means for stopping operation of the tow cutter in response to a predetermined high level of fibrous material being present in said first hopper and also including means for feeding the fibrous material forwardly therefrom, said second hopper being positioned forwardly of said first hopper for receiving the fibrous material from said first hopper and including means for stopping the feeding of fibrous material from said first hopper to said second hopper in response to a predetermined high level of fibrous material being present in said second hopper to facilitate obtaining a more uniform weight of delivery of fibrous material from said picker, a bank of cards operatively connected to said picker with each card having transitory storage means for receiving the fibrous material from said picker and for directing the same into the card, and means for receiving the fibrous material at the delivery end of the picker and for feeding the same to the respective transitory storage means of said bank of cards.",,1,
3930285,3,"3. Apparatus according to claim 1, wherein a bank of cards is operatively connected to said picker with each card having transitory storage means for receiving the fibrous material from said picker and for directing the same into the card, and means are provided for receiving the fibrous material at the delivery end of the picker and for feeding the same to the respective transitory storage means of said bank of cards.",1,0,
3930285,20,20. A method according to claim 16 comprising pneumatically collecting the fibrous material as it is delivered from the picker and pneumatically feeding the fibrous material in loose fibrous form to a bank of cards for forming carded stock therefrom.,16,0,
3930285,18,18. A method according to claim 16 comprising feeding the fibrous material as a stream of loose fibers from the delivery end of the picker to a bank of cards for forming carded stock therefrom.,16,0,
3930285,12,"12. Apparatus for processing preformed continuous filament tow positioned in a container comprising a tow cutter for receiving the continuous filament tow from the container and for severing the same into fibrous material of predetermined staple length, and means positioned ahead of said tow cutter for guiding the preformed continuous filament tow from the container to said tow cutter and for aiding in the removal of any folds or entanglements present in the tow upon its removal from the container, a plurality of pickers associated with said tow cutter with each of said pickers having a hopper for receiving the fibrous material from said tow cutter and having evening means for obtaining a substantially uniform weight of delivery of fibrous material processed therethrough, and with each of said pickers also being provided with lap forming means at the delivery end thereof for forming the fibrous material into laps for being subsequently processed through cards, means operatively connected to said tow cutter and to the respective hoppers of each of said pickers for feeding the fibrous material from said tow cutter to each of said pickers and wherein the respective hoppers of the pickers are provided with means for stopping operation of said tow cutter in response to a predetermined high level of fibrous material being present in said hoppers to thereby avoid overfilling the hoppers.",,1,
3930285,5,"5. Apparatus according to claim 1, wherein said picker is provided with a second hopper positioned adjacent said first recited hopper for receiving the fibrous material therefrom, and wherein said first recited hopper includes means for feeding the fibrous material from the first recited hopper to said second hopper.",1,0,
3930285,13,"13. Apparatus for processing continuous filament tow comprising a tow cutter for receiving continuous filament tow and for severing the same into fibrous material of predetermined staple length, a plurality of pickers associated with said tow cutter with each of said pickers having a hopper for receiving the fibrous material from said tow cutter and having evening means for obtaining a substantially uniform weight of delivery of fibrous material processed therethrough, means operatively connected to said tow cutter and to the respective hoppers of each of said pickers for feeding the fibrous material from said tow cutter to each of said pickers, a bank of cards operatively connected to said pickers with each card having transitory storage means for receiving the fibrous material from said pickers and for directing the same into the card, and means for receiving the fibrous material at the delivery end of said pickers and for feeding the same to the respective transitory storage means of said bank of cards.",,1,
3930286,1,"1. A beverage container-dispenser comprising:a. a flexible bag having a sealable opening for filling the bag,b. a valve attached to a wall of the bag, said valve having an operating member capable of movement to a closing position in which it closes the valve and which also during such closing movement serves to puncture the bag, said operating member being also movable to a dispensing position wherein it opens the valve to allow dispensing of beverage from the bag,c. a support structure having opposed side walls joined at the top and diverging from top to bottom and having a flat bottom joining the lower edges of the side walls and acting as a base to support the structure and bag in upright display and dispensing position andd. said valve projecting through a wall of the support structure.",,1,05530877
3930286,3,"3. Beverage dispensing construction comprising the structure of claim 2 in combination with a rigid, self-supporting housing having an open end, said area of the support structure, when separated, fitting within such open end.",2,0,05530877
3930286,2,2. The container-dispenser of claim 1 wherein the wall of the support structure through which the valve projects has an area surrounding the valve which is weakened so as to be readily removable while remaining attached to the valve.,1,0,05530877
3930287,6,"6. The strap of claim 1 wherein the slanting teeth of one strip extend outwardly from a side surface thereof, the other strip including a longitudinal recess, the slanting teeth of the second strip being located in the bottom of said recess, the projecting slanting teeth being engageable with the teeth in the recess when the two strips are in flat contacting relation.",1,0,
3930287,3,3. The strap of claim 1 wherein the slanting teeth on one strip are inset in a longitudinal recess.,1,0,
3930287,4,4. The strap of claim 1 wherein said interengaging means comprises means forming a slot in one strip through which the other strip extends.,1,0,
3930287,1,"1. An adjustable strap comprising a pair of elongated elastomeric strips,interengaging means on said strips at corresponding ends providing for longitudinal adjustment of said strips relative to each other and preventing separation of the strips in a direction normal to the lengths of the strips,elongated series of slanting teeth on each strip, said teeth being complementary to each other and slanting in opposite directions for engagement thereof preventing separation of the strips in a longitudinal direction, the teeth being located on the strips extending inwardly from the ends thereof that have the interengaging means,the means holding the strips from separation in a direction normal thereto being manually removable to allow adjustment and separation of said strips,wherein the slanting teeth of one strip extend outwardly from a side surface thereof, the other strip including a longitudinal recess, the slanting teeth of the second strip being located in the bottom of said recess, the projecting slanting teeth being engageable with the teeth in the recess when the two strips are in flat contacting relation.",,1,
3930287,2,2. The strap of claim 1 wherein the slanting teeth on one strip project from the surface of said strip.,1,0,
3930287,5,5. The strap of claim 4 including overhanging means at the side edges of one strip to removably embrace the side edges of the other strip at a point remote from the slot.,4,0,
3930288,6,"6. A toggle according to claims 1, further comprising associated rope, the weight of the toggle being less than the net upward buoyancy thrust of the associated rope.",1,0,
3930288,5,"5. A toggle according to claims 1, wherein each of said circular elongated and outer holes are provided with chamfers or radii to inhibit wear on a rope received therein.",1,0,
3930288,3,3. A toggle as in claim 2 wherein each web portion includes a lightening hole.,2,0,
3930288,2,2. A toggle as in claim 1 wherein each portion of said elongate body member disposed on one side of said line of symmetry includes a web portion.,1,0,
3930288,1,"1. A toggle for use in association with rope or twine for the handling of bundled articles or logs, said toggle comprising an elongate body member, said body member being substantially symmetrical about a transverse line of symmetry through the centre thereof, said body member having a first substantially circular hole disposed symmetrically about said line of symmetry and a second hole elongated in shape, also disposed symmetrically about said line of symmetry, the body member further including a pair of outer holes disposed adjacent the ends of the body the ends of said body being terminated by a T-shaped portion.",,1,
3930288,4,"4. A toggle as in claim 1, wherein the axes of said circular, elongated and outer holes are substantially parallel.",1,0,
3930288,8,"8. An elongated toggle as claimed in claim 7, further comprising:associated ropes operatively attached to the toggle andmeans to make said toggle buoyant to prevent its sinking beneath the surface of the water.",7,0,
3930288,7,"7. An elongated toggle substantially symmetrical about a transverse axis for use in association with a rope for handling of bundled articles such as logs, comprising:a first substantially circular hole anda second hole elongated in shape;both said holes disposed symmetrically about the central axis through the width therof;a pair of outer holes disposed adjacent the ends of said toggle;the said ends terminated by T-shaped portions;the axes of the said circular and the said elongated holes being substantially parallel to each other;the axes of said outer holes being parallel to each other;all said holes having diameters permitting easy threading of ropes therethrough.",,1,
3930289,3,"3. A coupling device according to claim 1, wherein the opposed closure members are reflexly directed at said adjacent end portions thereof, for urging of said adjacent end portions to said open condition thereof by a force applied thereto in a direction towards the actuating member when said adjacent end portions are in said closed condition thereof.",1,0,
3930289,5,"5. A coupling device according to claim 1 wherein the ends of the opposed closure members remote from said adjacent end portions thereof are integrally interconnected, the closure members being mounted in the housing by securement of said remote ends of the closure members to the housing.",1,0,
3930289,2,"2. A coupling device according to claim 1, wherein the housing is provided with an aperture through which the actuating member is disposed for manual movement thereof from said first position to said second position thereof, the actuating member having a shoulder which is in abutting contact with the portion of the housing adjacent to said aperture when the actuating member is in said first position thereof to prevent movement of the actuating member from said first position in a direction away from said second position.",1,0,
3930289,4,"4. A coupling device according to claim 1, wherein the housing is provided with a slot having an open end and within which said adjacent end portions of the closure members are disposed when in said closed condition.",1,0,
3930289,1,"1. A coupling device comprising a housing to which a first member is connectible, opposed resilient closure members mounted in the housing with adjacent end portions of said closure members being urged by the inherent resiliency of the closure members towards a closed condition in which a second member is connectible thereto, and an actuating member mounted on the housing and movable between a first position in which the actuating member permits said adjacent end portions of the closure members to attain said closed condition under the influence of said inherent resiliency of the closure members, and a second position in which the actuating member extends between and is in contact with the closure members to maintain said adjacent end portions thereof in an open condition against the influence of said inherent resiliency of the closure members, the actuating member having opposed cam faces for urging the closure members against said inherent resiliency of the closure members from said closed condition to said open condition of said adjacent end portions of the closure members on said movement of the actuating member from said first position to said second position thereof.",,1,
3930290,4,"4. The snap-shackle described in claim 3 wherein said other end of said curved rotatable arm further has a first arcuate surface and a first radial surface which respectively mate with and engage a portion of said body member when said curved rotatable arm is locked in said fixed position and wherein said notch of said curved rotatable arm has a second radial surface substantially oppositely disposed from said first radial surface and which mates with and is engaged by said notch of said trigger latch when said curved rotatable arm is in said fixed position, said first arcuate surface and said first and second radial surfaces engaged by said body member and said trigger latch, respectively, double lock said curved rotatable arm to prevent said curved rotatable arm from moving radially or angularly in any direction.",3,0,05526325
3930290,1,"1. A snap-shackle for interconnecting the rigging components of sailing craft comprising:a body member having a curved projection extending therefrom, said body member having an aperture therethrough, an interior cavity which is peripheral to and opens into said aperture and a passage which extends between said interior cavity and the outer surface of said body;a trigger latch having one end thereof pivotally attached to said body within said cavity and the other end thereof positioned within said passage, the central portion of said trigger latch extending across a portion of said aperture and being exposed therein, said trigger latch being adapted to be pivoted by inserting an object into said aperture and engaging said central portion of said trigger latch, said other end of said trigger latch having a rounded surface with a notch therein;a curved rotatable arm having one end thereof rotatably joined to the outermost extremity of said curved projection, the other end of said curved rotatable arm having a rounded surface with a notch therein, said rounded surface of said other end being adapted to enter said passage and engage and slide along said rounded surface of said trigger latch until said notch of said trigger latch engages said notch of said curved rotatable arm whereby said curved rotatable arm is locked in a fixed position by said trigger latch to form an opening between said curved rotatable arm and said body member, said opening being adapted to receive and couple to rigging components of sailing craft, said trigger latch being pivoted by inserting an object in said aperture to disengage said trigger latch from said rotatable arm and to release said rigging components coupled in said opening; andcoupling means attached to said body and oppositely disposed from the juncture of said curved projection and said curved rotatable arm for receiving and coupling to rigging components of sailing craft.",,1,05526325
3930290,5,"5. The snap-shackle described in claim 4 wherein said trigger latch is C-shaped, having one end pivotally attached to said body within said cavity and the other end in slidable engagement with an interior surface of said cavity in said body.",4,0,05526325
3930290,2,2. The snap-shackle described in claim 1 wherein said juncture of said curved projection and said curved rotatable arm is located at a point most distant from said coupling means to accept and bear the forces transmitted by rigging components of a sailing craft coupled therein thereby minimizing the forces on said curved rotatable arm and reducing the force required to disengage said trigger latch from said curved rotatable arm.,1,0,05526325
3930290,3,3. The snap-shackle described in claim 2 further including a bias spring located in said cavity between said body and said trigger latch to bias said trigger latch into the position which locks said curved rotatable arm in said fixed position.,2,0,05526325
3930291,2,"2. Apparatus according to claim 1, wherein said lever is weighted.",1,0,
3930291,1,"1. Slub catching and tension for processing yarn comprising means for unwinding yarn from a control apparatus package and rewinding it to form a package and means for guiding a portion of the yarn as it travels from one package to the other comprising blocks supported at opposite sides of the path of yarn travel, means yieldably supported by the block at one side, providing a surface extending lengthwise of the path of yarn travel, an eccentric mounted on the block at the other side, an elongate bar mounted on the eccentric for pivotal movement about an axis parallel to the surface of said means at said one side and for adjustment relative thereto to adjust the width of the yarn passage, a lever mounted at the upper end of the bar and extending laterally therefrom relative to said pivot axis for biasing the bar on said axis and means mounting the lever for movement to either side of said axis.",,1,
3930291,4,"4. Apparatus according to claim 3 comprising, means for rotating the eccentric.",3,0,
3930291,3,"3. Slub catching and tension control apparatus for processing yarn comprising means for unwinding yarn from a package and rewinding it to form a package, and means for guiding a portion of the yarn as it travels from one package to the other, comprising supports at opposite sides of the path of yarn travel, means yieldably mounted on the support at one side providing a surface extending lengthwise of and parallel to the path of yarn travel, an eccentric rotatably mounted on the support at the other side with its axis of rotation at right angles to the path of travel of the yarn and parallel to said surface provided by the yieldably supported means, means mounted on the eccentric providing a surface spaced from and parallel to said surface provided by the yieldably supported means and forming in conjunction therewith a narrow yarn passage, said eccentric pivotally supporting said latter means for pivotal movement about said axis and for movement by rotation of the eccentric relative to said surface to adjust the width of the yarn passage, a lever mounted on said latter means above said axis and extending laterally therefrom relative to said axis for biasing said latter means on said axis and means mounting the lever for movement to either side of said axis.",,1,
3930292,13,"13. A combination as claimed in claim 1, and further embodying a series of rollers around which one or more filaments are looped alternately and successively clockwise and counterclockwise, wherein the tube extends over the entire length of the filament path between the rollers, is curved in the direction of filament travel around each particular roller and, between two rollers, has a lateral slot which is situated in the common tangential plane of the successive rollers coinciding with the filament path and which joins together the two opposite longitudinal slots in the tube.",1,0,
3930292,9,"9. A combination as claimed in claim 8 embodying said roller or rollers around which several filaments are completely or partly looped, wherein the longitudinal slot is offset from the plane of curvature of the tube towards the working zone of the filaments on the roller through an angle of 30.degree. to 150.degree..",8,0,
3930292,7,7. A combination as claimed in claim 1 wherein said longitudinal slot is opposite to and faces said roller or rollers.,1,0,
3930292,19,"19. A combination as claimed in claim 1 wherein the end of the filament to be fed into said tube is attached to a plug member designed to be driven through said tube by the fluid stream, an arm member projecting laterally from said plug member through said slot, and means on said arm member for releasably attaching said end of said filament to said arm member, whereby said filament is drawn by said plug member outside said tube.",1,0,
3930292,6,"6. A combination as claimed in claim 4, wherein the distance between said detector and said filament cutter is equal to the length of the filament or tow path through said stretching apparatus.",4,0,
3930292,11,"11. A combination as claimed in claim 1, embodying a roller around which several filaments are completely or partly looped, and means for shifting the tube parallel to the axis of the roller.",1,0,
3930292,8,8. A combination as claimed in claim 1 wherein said longitudinal slot faces laterally toward the working zone of the filament(s) looped around said roller or rollers.,1,0,
3930292,3,"3. A combination as claimed in claim 2, said plug having peripheral grooves inclined in the same direction towards the generatrices of the plug.",2,0,
3930292,12,"12. A combination as claimed in claim 1, wherein the ends of the tube lie in the planes tangential to the roller coinciding with the filament path.",1,0,
3930292,17,"17. A combination as claimed in claim 1, wherein a curtain of air is produced adjacent the longitudinal slot by the provision along the longitudinal slot of air nozzles whose orifices are directed in the peripheral direction and/or towards the center of the tube and are optionally inclined in the direction of travel of the filament in the tube.",1,0,
3930292,20,"20. A combination as claimed in claim 1, and further embodying a series of rollers around which one or more filaments are looped alternately and successively clockwise and counter-clockwise, wherein the tube extends over the entire length of the filament path between the rollers, is curved in the direction of the filament travel around each particular roller, and consists of a series of tube sections, each of which having ends which are lying in the plane coinciding with the filament path and common tangential plane of the successive rollers.",1,0,
3930292,5,"5. A combination as claimed in claim 4, wherein, in the vicinity of the curve, the tube has an outlet which terminates in front of a tow-entraining means, and air jet means by which the beginning of the cut tow is blown into said outlet.",4,0,
3930292,14,14. A combination as claimed in claim 1 wherein said roller or rollers are rotatably supported at both ends thereof on substantially uninterrupted side walls of a processing chamber.,1,0,
3930292,4,"4. A combination as claimed in claim 2, and comprising a looping-type tow stretching apparatus, wherein the tube is curved at the end of the looping-type stretching arrangement and, in the vicinity of the curve, comprises a filament cutter which is actuated by a detector for the plug.",2,0,
3930292,2,2. A combination as claimed in claim 1 wherein the end of the filament to be fed into said tube is attached to a plug member designed to be driven through said tube by the fluid stream.,1,0,
3930292,16,"16. A combination as claimed in claim 15 wherein the chamber is substantially uninterrupted on all sides with only an inlet slot and an outlet slot for the tows before which the inlet and outlet ends of the tube system open and end, respectively.",15,0,
3930292,10,"10. A combination as claimed in claim 1, wherein the longitudinal slot has a funnel-like widening at the inlet end of the tube, the edges of the longitudinal slot beginning on the generatrices which each face towards the outermost working zone of a filament on the roller.",1,0,
3930292,18,"18. A combination as claimed in claim 1, the feed end of the filament having a knot forming a plug for urging the filament to be moved through the tube by said fluid stream.",1,0,
3930292,15,"15. A combination as claimed in claim 1, and further comprising a looping-type stretching apparatus for tows, wherein the rollers are mounted at both ends in a substantially uninterrupted side wall of a chamber, and wherein the tubes are fixedly connected to the frame of the looping-type stretching arrangement in a plane extending perpendicularly of the rollers.",1,0,
3930292,1,"1. In a filament processing apparatus, the combination of a rotatable roller or a series of at least two rotatable rollers for conveying a filament or filaments looped at least partially around the respective roller surfaces, and a tubular roller-threading device embodying a tube through which a filament may be conveyed by a fluid stream flowing in said tube, having at least a curvate portion adjacent said roller(s) and extending over an angle extending substantially approximate to the angle of looping of the filament(s) on the roller(s), said curvate portion lying in a plane substantially perpendicular to the axis of its continguous roller, and said curvate portion having a longitudinal slot through which a fluid-conveyed filament may be drawn out of said tube when the filament is placed in tension.",,1,
3930293,5,"5. A method for transferring a package of yarn supported by a transfer core to a replacement core comprising, in sequence, the steps of:a. inserting the replacement core into the transfer core;b. anchoring the replacement core against axial displacement;c. compressing the package of yarn;d. gripping and thereafter pulling the transfer core axially in removing it from between the yarn package and the replacement core; ande. holding the package of yarn stationary during the withdrawal of the transfer core.",,1,
3930293,3,3. The invention in accordance with claim 2 wherein the transfer core is gripped and thereafter pulled axially in removing it from between the yarn package and the resilient core.,2,0,
3930293,10,10. The invention in accordance with claim 9 wherein the foraminous dye penetrating core is a perforated plastic tube.,9,0,
3930293,2,2. The invention in accordance with claim 1 wherein the compression of the resilient core is released to facilitate its interengagement with the package of yarn following removal of the transfer core.,1,0,
3930293,9,9. The invention in accordance with claim 7 wherein the replacement core is a foraminous dye penetrating core.,7,0,
3930293,7,"7. A method for transferring a package of yarn supported by a transfer core to a replacement core comprising, in sequence, the steps of:a. inserting the replacement core into the transfer core;b. gripping and thereafter pulling the transfer core axially in removing it from between the yarn package and replacement core;c. holding the package of yarn stationary during the withdrawal of the transfer core; andd. permitting the yarn and the replacement core to interengage in completing the transfer of the yarn onto the replacement core.",,1,
3930293,1,"1. A method for transferring a package of yarn supported by a rigid imperforate transfer core to a foraminous, resilient dye core of predetermined diameter comprising, in sequence, the steps of:a. compressing the resilient core to reduce its size;b. inserting the resilient core into the transfer core;c. anchoring the resilient core against axial displacement; andd. axially removing the transfer core relative to both the package of yarn and the resilient core.",,1,
3930293,8,8. The invention in accordance with claim 7 wherein the replacement core is anchored against axial displacement during the removal of the transfer core.,7,0,
3930293,4,4. The invention in accordance with claim 3 wherein the package of yarn is held stationary during the withdrawal of the transfer core.,3,0,
3930293,6,6. The invention is accordance with claim 5 wherein the transfer core is ejected and removed to another location after removal from the yarn package.,5,0,
3930294,1,"1. In a burnishing tool, a support, a housing on said support, a spindle, bearing means supporting said spindle within said housing for rotation, drive means for rotating said spindle, a burnishing head on the forward end of said spindle having a mandrel and a slotted cage with truncated rollers within the slots, a cylinder, a piston in said cylinder for relatively moving said mandrel and cage to move the rollers into engagement with the surface of a workpiece for applying a predetermined pressure irrespective of variations of diameter of the workpiece, and means for retracting the rollers from engagement with the workpiece.",,1,
3930294,2,"2. In a burnishing tool as recited in claim 1, wherein means is provided for limiting the amount of retractive movement produced to the rollers.",1,0,
3930294,8,"8. In a burnishing tool as recited in claim 1, wherein said spindle is hollow, and wherein said rollers are adjusted inwardly to operate on the outer surface of a workpiece which may be passed entirely through said spindle.",1,0,
3930294,4,"4. In a burnishing tool as recited in claim 2, wherein the drive means embodies a flat pulley on said spindle, a motor on said support, a flat pulley on said motor, and a flat belt between said pulleys.",2,0,
3930294,9,"9. In a burnishing tool as recited in claim 8, wherein said support has vertically adjustable elements each side thereof, and troughs supported by said adjustable elements beneath the forward and rear portions of said spindle in position to support the workpiece either side thereof.",8,0,
3930294,5,"5. In a burnishing tool as recited in claim 4, wherein a side face of the spindle pulley is recessed for receiving the adjacent portion of the housing and bearing means in overhanging relation therewith.",4,0,
3930294,10,"10. In a burnishing tool as recited in claim 7, wherein replaceable bearing elements are provided on the inside of the trough for engagement with the workpiece.",7,0,
3930294,6,"6. In a burnishing tool as recited in claim 5, wherein said pulley surface has laterally disposed slots forming teeth-like protuberance therebetween, and wherein the inner face of the belt has teeth thereon to provide a positive drive therebetween.",5,0,
3930294,7,"7. In a burnishing tool as recited in claim 1, therein said support has vertically adjustable elements thereon, and a trough supported on said adjustable elements which extends beyond said burnishing head for supporting a workpiece.",1,0,
3930294,3,"3. In a burnishing tool as recited in claim 2, wherein said limiting means is adjustable for regulating the amount of retractive movement provided to the rollers.",2,0,
3930295,3,"3. An alignment tool as in claim 2 wherein said top recesses are rectangular in shape in the top surface and have downward inwardly tapering walls, said bottom recesses are rectangular in shape in the bottom surface and have upward inwardly tapering walls, and wherein said tool has a relatively thin passivating layer formed as an oxide of the body on the alignment surfaces of said recesses and on the exposed surfaces of the body.",2,0,
3930295,1,"1. In an alignment tool for positioning discrete diodes of the type having diode bond pads so they can be bonded into an array, a semiconductor body having substantially parallel top and bottom planar surfaces, said top surface of the body having a plurality of spaced top recesses formed therein having walls forming alignment surfaces extending from the top surface into the body, wherein said alignment surfaces and said diode body in combination mutually co-act to position said diodes, said recesses being adapted to receive the diode body and having a predefined depth so that the diode bond pads protrude above the top surface of the body, said bottom surface of the body having a plurality of spaced bottom recesses formed therein underlying the top recesses and having walls extending from the bottom surface into the body and intersecting the walls of the top recesses.",,1,
3930295,2,"2. An alignment tool as in claim 1 wherein the semiconductor body is a silicon body, the outer peripheries of the top recesses in the top surface are spaced a distance of 1 mil or greater, and where the intersection of the top and bottom recesses defines a subsurface plane substantially parallel to said top and bottom surfaces, and wherein the walls of the bottom recesses intersect the subsurface plane entirely within the intersection of the walls of the top recesses and the subsurface to thereby form a shoulder within the body.",1,0,
